min,sec,v
0,30,5.87
1,0,1.235
1,30,-14.327
2,0,-2.036
2,30,10.814
3,0,-1.246
3,30,-4.539
4,0,4.502
4,30,-1.146
5,0,-1.633
5,30,5.724
6,0,2.019
6,30,-4.7139999999999995
7,0,-12.012
7,30,-2.34
8,0,7.066
8,30,-4.676
9,0,-4.136
9,30,4.437
10,0,0.488
10,30,-0.9259999999999999
11,0,4.6339999999999995
11,30,2.928
12,0,-2.602
12,30,-5.0089999999999995
13,0,-3.3310000000000004
13,30,2.529
14,0,-1.561
14,30,-1.499
15,0,3.79
15,30,-1.3619999999999999
16,0,-4.181
16,30,-0.737
17,0,2.678
17,30,-1.159
18,0,0.349
18,30,5.346
19,0,2.353
19,30,-1.975
20,0,-6.686
20,30,-3.272
21,0,2.1430000000000002
21,30,-9.752
22,0,-5.733
22,30,1.7480000000000002
23,0,-0.237
23,30,4.746
24,0,6.782
24,30,-5.442
25,0,-4.9030000000000005
25,30,0.677
26,0,1.614
26,30,1.4709999999999999
27,0,-4.023
27,30,2.374
28,0,2.9539999999999997
28,30,-5.166
29,0,2.0909999999999997
29,30,5.113
30,0,-5.394
30,30,-2.456
31,0,1.921
31,30,-2.239
32,0,-1.0190000000000001
32,30,0.72
33,0,-1.8159999999999998
33,30,0.509
34,0,-4.378
34,30,-4.476
35,0,5.827000000000001
35,30,2.169
36,0,-1.245
36,30,2.23
37,0,-2.5140000000000002
37,30,-2.526
38,0,0.8170000000000001
38,30,0.9179999999999999
39,0,-1.253
39,30,-4.272
40,0,-0.32799999999999996
40,30,-1.3619999999999999
41,0,-2.026
41,30,2.234
42,0,3.201
42,30,-2.153
43,0,-1.831
43,30,0.46
44,0,-0.7509999999999999
44,30,-0.016
45,0,0.66
45,30,-2.194
46,0,-4.095
46,30,0.779
47,0,3.682
47,30,-4.391
48,0,-5.1739999999999995
48,30,0.835
49,0,1.213
49,30,-1.929
50,0,0.052000000000000005
50,30,6.971
51,0,-0.05
51,30,-7.864
52,0,-4.756
52,30,6.874
53,0,-3.06
53,30,-3.3680000000000003
54,0,11.050999999999998
54,30,-7.346
55,0,-12.84
55,30,-3.457
56,0,0.162
56,30,14.395
57,0,6.426
57,30,-2.61
58,0,1.8119999999999998
58,30,-3.23
59,0,-4.419
59,30,0.627
60,0,-0.63
60,30,-5.3729999999999976
61,0,-3.4339999999999997
61,30,-3.325
62,0,-3.7539999999999996
62,30,-2.149
63,0,4.763999999999999
63,30,9.59
64,0,1.2329999999999999
64,30,-3.358
65,0,4.43
65,30,0.257
66,0,-5.787000000000001
66,30,-1.515
67,0,-3.966
67,30,-6.787000000000001
68,0,0.986
68,30,0.556
69,0,-0.8240000000000001
69,30,3.8989999999999996
70,0,-1.518
70,30,0.7559999999999999
71,0,3.7969999999999997
71,30,-0.57
72,0,0.836
72,30,-1.974
73,0,-5.65
73,30,-0.564
74,0,2.431
74,30,-1.156
75,0,1.575
75,30,-0.10099999999999999
76,0,-10.215
76,30,-1.06
77,0,4.923
77,30,2.28
78,0,0.114
78,30,-0.223
79,0,-6.318
79,30,-1.42
80,0,8.986
80,30,2.6
81,0,-0.823
81,30,0.125
82,0,-7.149
82,30,-6.104
83,0,-5.223
83,30,-5.747000000000001
84,0,-0.504
84,30,-0.163
85,0,2.2030000000000003
85,30,-2.0069999999999997
86,0,4.438
86,30,10.628
87,0,1.222
87,30,0.41
88,0,-3.2239999999999998
88,30,-7.487
89,0,-11.952
89,30,-9.535
90,0,6.676
90,30,9.213
91,0,-2.656
91,30,-3.48
92,0,3.835
92,30,-0.15
93,0,-3.43
93,30,5.475
94,0,3.813
94,30,-5.952999999999999
95,0,-5.206
95,30,3.7739999999999996
96,0,-4.8389999999999995
96,30,-11.312999999999999
97,0,0.301
97,30,3.4939999999999998
98,0,-3.076
98,30,0.8759999999999999
99,0,4.287
99,30,1.455
100,0,3.615
100,30,3.156
101,0,0.674
101,30,-4.718
102,0,-3.783
102,30,-2.419
103,0,-8.14
103,30,-6.92
104,0,3.54
104,30,3.7310000000000003
105,0,-3.327
105,30,1.218
106,0,10.342
106,30,1.295
107,0,-2.134
107,30,4.662
108,0,4.023
108,30,-5.1720000000000015
109,0,-8.211
109,30,0.016
110,0,-2.4130000000000003
110,30,-6.5889999999999995
111,0,-3.6839999999999997
111,30,-2.4419999999999997
112,0,3.7910000000000004
112,30,11.622
113,0,9.324
